"user_id","noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","numberOfShows_M2","total_Time_M2","watched_in_M2"
"ce9088",44,871.100833333333,0.795454545454545,0.204545454545455,0.0227272727272727,0,0.977272727272727,0,0,2.27272727272727,65.9090909090909,0,11.3636363636364,0,0,18.1818181818182,0,0,0,2.27272727272727,31.8181818181818,28,535.075533333333,"1"
"ce9575",1,0.130983333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"ce97fe",1,0.7214,0,1,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,2,19.9891166666667,"1"
"cea036",4,88.2177333333333,1,0,0,0.5,0.5,0,0,0,0,0,25,0,0,75,0,0,0,0,25,10,50.6338,"1"
"cea826",8,73.5356833333333,0.375,0.625,0,0.75,0.25,0,0,0,50,12.5,37.5,0,0,0,0,0,0,0,25,21,668.08565,"1"
"cea842",10,189.509083333333,1,0,0,1,0,0,0,50,0,10,10,0,0,0,0,0,30,0,40,8,339.5423,"1"
"cea9b0",1,0.11635,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"ceb461",26,417.000266666667,0.961538461538462,0.0384615384615385,0,0.0384615384615385,0.884615384615385,0.0769230769230769,0,23.0769230769231,3.84615384615385,0,11.5384615384615,0,0,46.1538461538462,0,0,7.69230769230769,7.69230769230769,42.3076923076923,16,337.89855,"1"
"cec638",35,636.264833333333,0.542857142857143,0.457142857142857,0.0571428571428571,0.342857142857143,0.6,0,0,8.57142857142857,0,14.2857142857143,51.4285714285714,0,0,25.7142857142857,0,0,0,0,40,13,235.108633333333,"1"
"cecbb8",3,1.61403333333333,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,66.6666666666667,0,33.3333333333333,0,0,0,0,0,0,0,33.3333333333333,2,1.2,"1"
"ced4b8",142,849.71475,0.591549295774648,0.408450704225352,0.190140845070423,0.640845070422535,0.0845070422535211,0.0845070422535211,0,1.40845070422535,8.45070422535211,10.5633802816901,23.943661971831,0.704225352112676,0.704225352112676,32.3943661971831,0,1.40845070422535,14.0845070422535,6.33802816901408,4.22535211267606,99,600.27335,"1"
"ced50a",55,513.423483333333,0.8,0.2,0.181818181818182,0.218181818181818,0.381818181818182,0.218181818181818,3.63636363636364,18.1818181818182,20,5.45454545454545,32.7272727272727,0,0,3.63636363636364,0,0,16.3636363636364,0,5.45454545454545,14,108.14135,"1"
"ced5e8",1,58.9908333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,"0"
"cedf6d",1,1.65851666666667,0,1,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,5.4137,"1"
"cee72e",4,140.99025,1,0,0.5,0,0.5,0,0,0,25,0,75,0,0,0,0,0,0,0,50,0,0,"0"
"ceee46",1,1.25716666666667,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"cefbb5",1,88.7103833333333,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,"0"
"cefe8e",4,90.20285,0.25,0.75,0.75,0.25,0,0,0,0,100,0,0,0,0,0,0,0,0,0,75,9,247.623316666667,"1"
"cf011c",2,1.45843333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,11,170.759316666667,"1"
"cf01db",2,1.74003333333333,0,1,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,4,4.4524,"1"
"cf0d62",1,1.21175,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,15.2523666666667,"1"
"cf1645",1,1.24771666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,"0"
"cf2394",20,257.01845,0.85,0.15,0,0,1,0,0,0,80,0,15,0,0,5,0,0,0,0,10,29,503.916733333333,"1"
"cf36ae",3,2.51298333333333,1,0,0,0,0,1,0,33.3333333333333,0,66.6666666666667,0,0,0,0,0,0,0,0,33.3333333333333,0,0,"0"
"cf36ff",1,1.00756666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"cf390d",18,216.65455,0.555555555555556,0.444444444444444,0.111111111111111,0.166666666666667,0.388888888888889,0.333333333333333,5.55555555555556,11.1111111111111,0,38.8888888888889,38.8888888888889,0,0,0,0,0,5.55555555555556,0,22.2222222222222,19,303.993033333333,"1"
"cf3ee0",1,18.4719333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,"0"
"cf44f7",1,9.3667,0,1,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0"
"cf4db7",9,149.66695,0.666666666666667,0.333333333333333,0.111111111111111,0.222222222222222,0.666666666666667,0,11.1111111111111,33.3333333333333,44.4444444444444,0,0,0,11.1111111111111,0,0,0,0,0,22.2222222222222,9,127.417933333333,"1"
"cf5cad",2,63.5803666666667,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,50,0,0,"0"
"cf5e45",15,448.0533,0.666666666666667,0.333333333333333,0,0,0.466666666666667,0.533333333333333,0,13.3333333333333,6.66666666666667,13.3333333333333,33.3333333333333,0,0,13.3333333333333,0,0,20,0,33.3333333333333,29,745.973133333333,"1"
"cf60c8",1,1.41666666666667,0,1,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,"0"
"cf771c",33,446.883683333333,0.575757575757576,0.424242424242424,0,0.666666666666667,0,0.333333333333333,0,36.3636363636364,12.1212121212121,3.03030303030303,12.1212121212121,0,3.03030303030303,6.06060606060606,0,0,27.2727272727273,0,18.1818181818182,13,410.166233333333,"1"
"cf779a",1,0.10305,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"cf80b4",7,42.24585,0.428571428571429,0.571428571428571,0,0.857142857142857,0.142857142857143,0,0,0,0,0,85.7142857142857,0,0,14.2857142857143,0,0,0,0,14.2857142857143,2,15.06755,"1"
"cf9693",2,137.819533333333,0.5,0.5,0,0.5,0.5,0,0,0,50,50,0,0,0,0,0,0,0,0,100,1,15.4026166666667,"1"
"cf98df",65,1043.3729,0.676923076923077,0.323076923076923,0.0307692307692308,0,0.907692307692308,0.0615384615384615,0,7.69230769230769,13.8461538461538,9.23076923076923,20,0,1.53846153846154,33.8461538461538,0,0,3.07692307692308,10.7692307692308,36.9230769230769,44,972.08895,"1"
