"noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","watched_in_Feb"
5,35.9833666666667,0.4,0.6,0,0.4,0.2,0.4,0,20,0,40,0,0,0,20,0,0,20,0,20,"Yes"
27,1094.88826666667,0.62962962962963,0.37037037037037,0.037037037037037,0.407407407407407,0.222222222222222,0.333333333333333,3.7037037037037,22.2222222222222,62.962962962963,11.1111111111111,0,0,0,0,0,0,0,0,77.7777777777778,"Yes"
83,1888.8372,0.650602409638554,0.349397590361446,0.072289156626506,0.265060240963855,0.180722891566265,0.481927710843373,0,7.2289156626506,4.81927710843374,9.63855421686747,57.8313253012048,0,0,1.20481927710843,0,0,19.2771084337349,0,36.144578313253,"Yes"
61,1780.39875,0.918032786885246,0.0819672131147541,0.327868852459016,0.573770491803279,0.0983606557377049,0,0,1.63934426229508,55.7377049180328,8.19672131147541,11.4754098360656,0,0,14.7540983606557,0,1.63934426229508,0,6.55737704918033,54.0983606557377,"Yes"
23,253.600566666667,0.260869565217391,0.739130434782609,0.173913043478261,0.0869565217391304,0.739130434782609,0,0,4.34782608695652,8.69565217391304,26.0869565217391,56.5217391304348,0,0,0,0,0,4.34782608695652,0,4.34782608695652,"Yes"
1,85,1,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,"No"
13,149.871183333333,0.769230769230769,0.230769230769231,0,0.461538461538462,0.230769230769231,0.307692307692308,23.0769230769231,15.3846153846154,30.7692307692308,15.3846153846154,15.3846153846154,0,0,0,0,0,0,0,30.7692307692308,"Yes"
93,1256.06741666667,0.78494623655914,0.21505376344086,0.139784946236559,0.0645161290322581,0.333333333333333,0.462365591397849,0,2.1505376344086,1.0752688172043,6.45161290322581,13.9784946236559,0,0,67.741935483871,0,0,2.1505376344086,6.45161290322581,26.8817204301075,"Yes"
2,9.42483333333333,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"No"
1,12.3017,0,1,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"No"
1,26.0006333333333,0,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,"No"
3,67.8502833333333,1,0,0.333333333333333,0,0.666666666666667,0,0,0,0,0,100,0,0,0,0,0,0,0,33.3333333333333,"Yes"
4,36.5333,0,1,0,0.25,0.25,0.5,0,0,0,0,0,0,0,25,0,0,75,0,0,"Yes"
2,14.03775,0,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,"No"
18,223.904166666667,0.666666666666667,0.333333333333333,0.0555555555555556,0.277777777777778,0.611111111111111,0.0555555555555556,0,0,83.3333333333333,0,16.6666666666667,0,0,0,0,0,0,0,44.4444444444444,"Yes"
1,0.111383333333333,0,1,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"No"
2,106.142216666667,1,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,50,"Yes"
7,68.65435,0.285714285714286,0.714285714285714,0,0.714285714285714,0.285714285714286,0,71.4285714285714,0,14.2857142857143,0,0,0,0,14.2857142857143,0,0,0,0,57.1428571428571,"Yes"
13,308.75275,1,0,0,0.153846153846154,0.846153846153846,0,0,0,53.8461538461538,7.69230769230769,38.4615384615385,0,0,0,0,0,0,0,53.8461538461538,"Yes"
8,85.3394666666667,1,0,0,0,1,0,0,0,0,12.5,12.5,0,12.5,50,0,0,0,12.5,25,"Yes"
1,10.4768166666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"No"
5,37.5115,0.4,0.6,0,0.4,0.6,0,0,0,100,0,0,0,0,0,0,0,0,0,40,"No"
71,2516.5029,0.71830985915493,0.28169014084507,0.126760563380282,0.352112676056338,0.408450704225352,0.112676056338028,0,12.6760563380282,4.22535211267606,4.22535211267606,73.2394366197183,0,0,1.40845070422535,0,0,4.22535211267606,0,67.6056338028169,"Yes"
1,5.15,1,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,"No"
9,176.942666666667,0.666666666666667,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"Yes"
2,66.2078,0,1,0,1,0,0,0,0,0,0,50,0,0,0,0,50,0,0,50,"No"
